period_id,source,symbol,interval,start,end,short_name,merge_reason,raw_period_ids
merged_2023q1_bank_stress,binance_spot,BTCUSDT,1h,2023-02-23T00:00:00Z,2023-03-25T00:00:00Z,2023Q1 bank stress,Combine the bank-liquidity and USDC depeg shocks into one benchmark stress period.,raw_2023q1_silvergate_stress|raw_2023q1_svb_usdc_depeg
merged_2023q2_etf_reg,binance_spot,BTCUSDT,1h,2023-05-31T00:00:00Z,2023-07-15T00:00:00Z,2023Q2 ETF regulation,Group ETF filing and early ETF followthrough into one regulatory repricing period.,raw_2023q2_blackrock_filing|raw_2023q2_etf_followthrough
merged_2023q3_ripple_followthrough,binance_spot,BTCUSDT,1h,2023-06-28T00:00:00Z,2023-08-04T00:00:00Z,2023Q3 Ripple followthrough,Keep Ripple ruling and immediate continuation together because the legal narrative is continuous.,raw_2023q3_ripple_win|raw_2023q3_ripple_followthrough
merged_2023q4_exchange_reg,binance_spot,BTCUSDT,1h,2023-11-06T00:00:00Z,2023-12-13T00:00:00Z,2023Q4 exchange regulation,Binance settlement and immediate aftershock are treated as one exchange-regulation block.,raw_2023q4_binance_settlement|raw_2023q4_post_settlement
merged_2024q1_etf_cycle,binance_spot,BTCUSDT,1h,2023-12-26T00:00:00Z,2024-02-02T00:00:00Z,2024Q1 ETF cycle,ETF approval and post-approval flow are merged into one cycle benchmark.,raw_2024q1_etf_approval|raw_2024q1_post_approval
merged_2024q1_price_discovery,binance_spot,BTCUSDT,1h,2024-02-19T00:00:00Z,2024-03-29T00:00:00Z,2024Q1 price discovery,ATH breakout and followthrough are one price-discovery regime.,raw_2024q1_ath_breakout|raw_2024q1_ath_followthrough
merged_2024q2_halving_etf,binance_spot,BTCUSDT,1h,2024-04-05T00:00:00Z,2024-05-15T00:00:00Z,2024Q2 halving + ETF,"Halving and HK ETF launch overlap materially, so keep one merged period.",raw_2024q2_halving|raw_2024q2_hk_etf
merged_2024q3_macro_liquidation,binance_spot,BTCUSDT,1h,2024-07-21T00:00:00Z,2024-08-27T00:00:00Z,2024Q3 macro liquidation,Carry unwind and rebound are the same liquidation-driven volatility cluster.,raw_2024q3_yen_carry_unwind|raw_2024q3_post_liquidation
merged_2024q3_macro_policy,binance_spot,BTCUSDT,1h,2024-09-03T00:00:00Z,2024-10-10T00:00:00Z,2024Q3 macro policy,Fed cut and immediate repricing are kept as one policy window.,raw_2024q3_fed_cut|raw_2024q3_post_cut
merged_2024q4_us_policy,binance_spot,BTCUSDT,1h,2024-10-21T00:00:00Z,2024-12-20T00:00:00Z,2024Q4 US policy,US election and BTC above 100k share one late-2024 policy/momentum block.,raw_2024q4_us_election|raw_2024q4_btc_above_100k
merged_2025q1_us_policy,binance_spot,BTCUSDT,1h,2025-01-05T00:00:00Z,2025-02-11T00:00:00Z,2025Q1 US policy,Inauguration and immediate policy continuation are one merged 2025Q1 policy period.,raw_2025q1_inauguration|raw_2025q1_post_inauguration
merged_2025q2_macro_trade,binance_spot,BTCUSDT,1h,2025-03-18T00:00:00Z,2025-04-25T00:00:00Z,2025Q2 macro trade,Tariff shock and post-shock repricing are one macro-trade event block.,raw_2025q2_tariff_shock|raw_2025q2_post_tariff
