raw_period_id,merged_period_id,event_date,window_start,window_end,short_name,event_type,symbol,merge_reason
raw_2023q1_silvergate_stress,merged_2023q1_bank_stress,2023-03-01,2023-02-14T00:00:00Z,2023-03-16T00:00:00Z,Silvergate stress,bank_stress,BTCUSDT,Pre-SVB banking stress is part of the same liquidity shock cluster.
raw_2023q1_svb_usdc_depeg,merged_2023q1_bank_stress,2023-03-10,2023-02-23T00:00:00Z,2023-03-25T00:00:00Z,SVB / USDC depeg,bank_stress,BTCUSDT,Peak banking-stress and stablecoin depeg window merged into one shock period.
raw_2023q2_blackrock_filing,merged_2023q2_etf_reg,2023-06-15,2023-05-31T00:00:00Z,2023-06-30T00:00:00Z,BlackRock ETF filing,etf_regulation,BTCUSDT,ETF narrative acceleration belongs in the same regulatory repricing cluster.
raw_2023q2_etf_followthrough,merged_2023q2_etf_reg,2023-06-30,2023-06-15T00:00:00Z,2023-07-15T00:00:00Z,ETF followthrough,etf_regulation,BTCUSDT,Followthrough price discovery remains in the same ETF-regulation narrative window.
raw_2023q3_ripple_win,merged_2023q3_ripple_followthrough,2023-07-13,2023-06-28T00:00:00Z,2023-07-28T00:00:00Z,Ripple partial win,court_ruling,BTCUSDT,Court-ruling impulse and its immediate reaction belong to the same event window.
raw_2023q3_ripple_followthrough,merged_2023q3_ripple_followthrough,2023-07-20,2023-07-05T00:00:00Z,2023-08-04T00:00:00Z,Ripple followthrough,court_ruling,BTCUSDT,Post-ruling repricing extends the same legal-event period.
raw_2023q4_binance_settlement,merged_2023q4_exchange_reg,2023-11-21,2023-11-06T00:00:00Z,2023-12-06T00:00:00Z,Binance settlement,exchange_regulation,BTCUSDT,Exchange-regulation repricing is treated as one merged period.
raw_2023q4_post_settlement,merged_2023q4_exchange_reg,2023-11-28,2023-11-13T00:00:00Z,2023-12-13T00:00:00Z,Post-settlement drift,exchange_regulation,BTCUSDT,Immediate followthrough after settlement stays in the same exchange-regulation window.
raw_2024q1_etf_approval,merged_2024q1_etf_cycle,2024-01-10,2023-12-26T00:00:00Z,2024-01-25T00:00:00Z,US spot ETF approval,etf,BTCUSDT,ETF approval and launch-phase repricing are merged into one cycle.
raw_2024q1_post_approval,merged_2024q1_etf_cycle,2024-01-18,2024-01-03T00:00:00Z,2024-02-02T00:00:00Z,Post-approval ETF flow,etf,BTCUSDT,Post-approval ETF flow remains within the same ETF cycle.
raw_2024q1_ath_breakout,merged_2024q1_price_discovery,2024-03-05,2024-02-19T00:00:00Z,2024-03-20T00:00:00Z,ATH breakout,price_discovery,BTCUSDT,Breakout and subsequent price discovery form one merged momentum window.
raw_2024q1_ath_followthrough,merged_2024q1_price_discovery,2024-03-14,2024-02-28T00:00:00Z,2024-03-29T00:00:00Z,ATH followthrough,price_discovery,BTCUSDT,ATH followthrough is absorbed into the same price-discovery cluster.
raw_2024q2_halving,merged_2024q2_halving_etf,2024-04-20,2024-04-05T00:00:00Z,2024-05-05T00:00:00Z,Bitcoin halving,halving,BTCUSDT,Halving and ETF cross-currents are merged into one Q2 event block.
raw_2024q2_hk_etf,merged_2024q2_halving_etf,2024-04-30,2024-04-15T00:00:00Z,2024-05-15T00:00:00Z,HK ETF launch,etf,BTCUSDT,HK ETF launch overlaps the halving repricing window and is merged with it.
raw_2024q3_yen_carry_unwind,merged_2024q3_macro_liquidation,2024-08-05,2024-07-21T00:00:00Z,2024-08-20T00:00:00Z,Yen carry unwind,macro_liquidation,BTCUSDT,Macro liquidation and its recovery are treated as one merged shock window.
raw_2024q3_post_liquidation,merged_2024q3_macro_liquidation,2024-08-12,2024-07-28T00:00:00Z,2024-08-27T00:00:00Z,Post-liquidation rebound,macro_liquidation,BTCUSDT,Rebound remains in the same macro-liquidation event block.
raw_2024q3_fed_cut,merged_2024q3_macro_policy,2024-09-18,2024-09-03T00:00:00Z,2024-10-03T00:00:00Z,Fed first cut,macro_policy,BTCUSDT,Policy shift and immediate repricing are merged into one macro-policy period.
raw_2024q3_post_cut,merged_2024q3_macro_policy,2024-09-25,2024-09-10T00:00:00Z,2024-10-10T00:00:00Z,Post-cut repricing,macro_policy,BTCUSDT,Post-cut continuation belongs to the same macro-policy repricing window.
raw_2024q4_us_election,merged_2024q4_us_policy,2024-11-05,2024-10-21T00:00:00Z,2024-11-20T00:00:00Z,US election,macro_policy,BTCUSDT,Election and post-election crypto repricing are merged into one policy window.
raw_2024q4_btc_above_100k,merged_2024q4_us_policy,2024-12-05,2024-11-20T00:00:00Z,2024-12-20T00:00:00Z,BTC above 100k,price_discovery,BTCUSDT,100k break occurs inside the same late-2024 US-policy / momentum cluster.
raw_2025q1_inauguration,merged_2025q1_us_policy,2025-01-20,2025-01-05T00:00:00Z,2025-02-04T00:00:00Z,US inauguration,macro_policy,BTCUSDT,Inauguration and immediate policy repricing are one merged 2025Q1 window.
raw_2025q1_post_inauguration,merged_2025q1_us_policy,2025-01-27,2025-01-12T00:00:00Z,2025-02-11T00:00:00Z,Post-inauguration drift,macro_policy,BTCUSDT,Followthrough after inauguration stays in the same policy window.
raw_2025q2_tariff_shock,merged_2025q2_macro_trade,2025-04-02,2025-03-18T00:00:00Z,2025-04-17T00:00:00Z,Tariff shock,macro_trade,BTCUSDT,Trade-policy repricing begins with the tariff shock and is merged with the immediate aftershock.
raw_2025q2_post_tariff,merged_2025q2_macro_trade,2025-04-10,2025-03-26T00:00:00Z,2025-04-25T00:00:00Z,Post-tariff repricing,macro_trade,BTCUSDT,Post-shock repricing remains in the same macro-trade window.
